settlement_id,payment_id,order_id,gross_amount,fee,tax,net_amount,settled_at,status
setl_9039,pay_1039,order_1039,1535.47,30.70,5.52,1499.25,2026-08-06T01:00:00+05:30,processed
setl_9040,pay_1040,order_1040,1549.20,30.98,5.57,1512.65,2026-08-06T02:00:00+05:30,processed
setl_9041,pay_1041,order_1041,1562.93,31.25,5.62,1526.06,2026-08-06T03:00:00+05:30,processed
setl_9042,pay_1042,order_1042,1576.66,31.53,5.67,1539.46,2026-08-06T04:00:00+05:30,processed
setl_9043,pay_1043,order_1043,1590.39,31.80,5.72,1552.87,2026-08-06T05:00:00+05:30,processed
setl_9044,pay_1044,order_1044,1604.12,32.08,5.77,1566.27,2026-08-06T06:00:00+05:30,processed
setl_9045,pay_1045,order_1045,1617.85,32.35,5.82,1579.68,2026-08-06T07:00:00+05:30,processed
setl_9046,pay_1046,order_1046,1631.58,32.63,5.87,1593.08,2026-08-06T08:00:00+05:30,processed
setl_9047,pay_1047,order_1047,1645.31,32.90,5.92,1606.49,2026-08-06T09:00:00+05:30,processed
setl_9048,pay_1048,order_1048,1659.04,33.18,5.97,1619.89,2026-08-06T10:00:00+05:30,processed
setl_9049,pay_1049,order_1049,1672.77,33.45,6.02,1633.30,2026-08-06T11:00:00+05:30,processed
setl_9050,pay_1050,order_1050,1686.50,33.73,6.07,1309.40,2026-08-06T12:00:00+05:30,processed
setl_9051,pay_1051,order_1051,1700.23,34.00,6.12,1320.07,2026-08-06T13:00:00+05:30,processed
setl_9052,pay_1052,order_1052,1713.96,34.27,6.16,1330.74,2026-08-06T14:00:00+05:30,processed
setl_9053,pay_1053,order_1053,1727.69,34.55,6.21,1341.40,2026-08-06T15:00:00+05:30,processed
setl_9054,pay_1054,order_1054,1741.42,34.82,6.26,1352.06,2026-08-06T16:00:00+05:30,processed
setl_9055,pay_1055,order_1055,1755.15,35.10,6.31,1362.71,2026-08-06T17:00:00+05:30,processed
setl_9056,pay_1056,order_1056,1768.88,35.37,6.36,1373.38,2026-08-06T18:00:00+05:30,processed
setl_9057,pay_1057,order_1057,1782.61,35.65,6.41,1384.03,2026-08-06T19:00:00+05:30,processed
setl_9058,pay_1058,order_1058,1796.34,35.92,6.46,1394.70,2026-08-06T20:00:00+05:30,processed
setl_9059,pay_1059,order_1059,1810.07,36.20,6.51,1405.35,2026-08-06T21:00:00+05:30,processed
setl_9060,pay_1060,order_1060,607.93,36.47,6.56,593.59,2026-08-06T22:00:00+05:30,processed
setl_9061,pay_1060,order_1060,1215.87,0.00,0.00,1187.18,2026-08-07T22:00:00+05:30,processed
setl_9062,pay_1061,order_1061,612.51,36.75,6.61,598.05,2026-08-06T23:00:00+05:30,processed
setl_9063,pay_1061,order_1061,1225.02,0.00,0.00,1196.12,2026-08-07T23:00:00+05:30,processed
setl_9064,pay_1062,order_1062,617.08,37.02,6.66,602.52,2026-08-07T00:00:00+05:30,processed
setl_9065,pay_1062,order_1062,1234.18,0.00,0.00,1205.06,2026-08-08T00:00:00+05:30,processed
setl_9066,pay_1063,order_1063,621.66,37.29,6.71,606.99,2026-08-07T01:00:00+05:30,processed
setl_9067,pay_1063,order_1063,1243.33,0.00,0.00,1214.00,2026-08-08T01:00:00+05:30,processed
setl_9068,pay_1064,order_1064,626.24,37.57,6.76,611.46,2026-08-07T02:00:00+05:30,processed
setl_9069,pay_1064,order_1064,1252.48,0.00,0.00,1222.93,2026-08-08T02:00:00+05:30,processed
setl_9070,pay_1065,order_1065,630.81,37.84,6.81,615.93,2026-08-07T03:00:00+05:30,processed
setl_9071,pay_1065,order_1065,1261.64,0.00,0.00,1231.87,2026-08-08T03:00:00+05:30,processed
setl_9072,pay_1066,order_1066,635.39,38.12,6.86,620.40,2026-08-07T04:00:00+05:30,processed
setl_9073,pay_1066,order_1066,1270.79,0.00,0.00,1240.80,2026-08-08T04:00:00+05:30,processed
setl_9074,pay_1067,order_1067,639.97,38.39,6.91,624.87,2026-08-07T05:00:00+05:30,processed
setl_9075,pay_1067,order_1067,1279.94,0.00,0.00,1249.74,2026-08-08T05:00:00+05:30,processed
setl_9076,pay_1068,order_1068,644.54,38.67,6.96,629.33,2026-08-07T06:00:00+05:30,processed
setl_9077,pay_1068,order_1068,1289.10,0.00,0.00,1258.68,2026-08-08T06:00:00+05:30,processed
setl_9078,pay_1069,order_1069,649.12,38.94,7.00,633.81,2026-08-07T07:00:00+05:30,processed
setl_9079,pay_1069,order_1069,1298.25,0.00,0.00,1267.62,2026-08-08T07:00:00+05:30,processed
setl_9080,,,1961.10,0.00,0.00,1961.10,2026-08-15T08:00:00+05:30,processed
setl_9081,,,1974.83,0.00,0.00,1974.83,2026-08-15T09:00:00+05:30,processed
setl_9082,,,1988.56,0.00,0.00,1988.56,2026-08-15T10:00:00+05:30,processed
setl_9083,,,2002.29,0.00,0.00,2002.29,2026-08-15T11:00:00+05:30,processed
setl_9084,,,2016.02,0.00,0.00,2016.02,2026-08-15T12:00:00+05:30,processed
setl_9085,,,2029.75,0.00,0.00,2029.75,2026-08-15T13:00:00+05:30,processed
setl_9086,,,2043.48,0.00,0.00,2043.48,2026-08-15T14:00:00+05:30,processed
setl_9087,,,2057.21,0.00,0.00,2057.21,2026-08-15T15:00:00+05:30,processed
setl_9088,,,2070.94,0.00,0.00,2070.94,2026-08-15T16:00:00+05:30,processed
setl_9089,,,2084.67,0.00,0.00,2084.67,2026-08-15T17:00:00+05:30,processed
setl_9090,pay_1088,order_1088,2208.24,0.00,0.00,2208.24,2026-08-08T02:00:00+05:30,processed
setl_9091,pay_1089,order_1089,2221.97,0.00,0.00,2221.97,2026-08-08T03:00:00+05:30,processed
setl_9092,pay_1090,order_1090,2235.70,0.00,0.00,2235.70,2026-08-08T04:00:00+05:30,processed
setl_9093,pay_1091,order_1091,2249.43,0.00,0.00,2249.43,2026-08-08T05:00:00+05:30,processed
setl_9094,pay_1092,order_1092,2263.16,0.00,0.00,2263.16,2026-08-08T06:00:00+05:30,processed
setl_9095,pay_1093,order_1093,2276.89,45.53,8.19,2173.17,2026-08-08T07:00:00+05:30,processed
setl_9096,pay_1094,order_1094,2290.62,45.81,8.24,2186.57,2026-08-08T08:00:00+05:30,processed
setl_9097,pay_1095,order_1095,2304.35,46.08,8.29,2199.98,2026-08-08T09:00:00+05:30,processed
setl_9098,pay_1096,order_1096,2318.08,46.36,8.34,2213.38,2026-08-08T10:00:00+05:30,processed
setl_9099,pay_1097,order_1097,2331.81,0.00,0.00,2331.81,2026-08-08T11:00:00+05:30,failed
setl_9100,pay_1098,order_1098,2345.54,0.00,0.00,2345.54,2026-08-08T12:00:00+05:30,failed
setl_9101,pay_1099,order_1099,2359.27,0.00,0.00,2359.27,2026-08-08T13:00:00+05:30,failed
